rownames,REGION,SPECIES,TYPE,HABITAT,FGUILD,LengthGroup,TaxonGroup,YEAR,BIOMASS,LANDINGS,NumSpecies
3501,GoA,Rougheye rockfish,Fish,Demersal,Zoopivore,Medium,Sebastes,2007,44945.1,417,1
3502,GoA,Sablefish,Fish,Pelagic,Zoopivore,Large,Sablefish,2007,137356.128,9445,1
3503,GoA,Walleye pollock,Fish,Pelagic,Planktivore,Medium,Gadoid,2007,641796,53062,1
3504,GoA,Arrowtooth flounder,Fish,Demersal,Piscivore,Medium,Pleuronectid,2008,2176780,29293,1
3505,GoA,Dover sole,Fish,Demersal,Benthivore,Medium,Pleuronectid,2008,89353,561.0657203,1
3506,GoA,Dusky rockfish,Fish,Pelagic,Benthivore,Small,Sebastes,2008,75187.6,3618,1
3507,GoA,Flathead sole,Fish,Demersal,Benthivore,Medium,Pleuronectid,2008,330130,3419,1
3508,GoA,Northern rockfish,Fish,Pelagic,Planktivore,Small,Sebastes,2008,110885,4052,1
3509,GoA,Pacific cod,Fish,Demersal,Piscivore,Large,Gadoid,2008,475523,54467,1
3510,GoA,Pacific halibut,Fish,Demersal,Piscivore,Large,Pleuronectid,2008,386513.569,26036.36364,1
3511,GoA,Pacific herring,Fish,Pelagic,Planktivore,Small,Clupeid,2008,16085.0908,2813.2722,1
3512,GoA,Pacific ocean perch,Fish,Pelagic,Planktivore,Medium,Sebastes,2008,339109,12399,1
3513,GoA,Pacific salmon,Fish,Pelagic,Planktivore,Large,Forage fish,2008,232564.2157,166692.7273,1
3514,GoA,Rex sole,Fish,Demersal,Benthivore,Medium,Pleuronectid,2008,117630,2703,1
3515,GoA,Rougheye rockfish,Fish,Demersal,Zoopivore,Medium,Sebastes,2008,45236.4,389,1
3516,GoA,Sablefish,Fish,Pelagic,Zoopivore,Large,Sablefish,2008,125661.4228,9025,1
3517,GoA,Walleye pollock,Fish,Pelagic,Planktivore,Medium,Gadoid,2008,649559,52500,1
3518,GoA,Arrowtooth flounder,Fish,Demersal,Piscivore,Medium,Pleuronectid,2009,2155780,22072,1
3519,GoA,Dover sole,Fish,Demersal,Benthivore,Medium,Pleuronectid,2009,89536,405,1
3520,GoA,Dusky rockfish,Fish,Pelagic,Benthivore,Small,Sebastes,2009,71084.6,2935,1
3521,GoA,Flathead sole,Fish,Demersal,Benthivore,Medium,Pleuronectid,2009,330270,3419,1
3522,GoA,Northern rockfish,Fish,Pelagic,Planktivore,Small,Sebastes,2009,106735,3843,1
3523,GoA,Pacific cod,Fish,Demersal,Piscivore,Large,Gadoid,2009,615610,51970,1
3524,GoA,Pacific halibut,Fish,Demersal,Piscivore,Large,Pleuronectid,2009,386513.569,24057.89258,1
3525,GoA,Pacific herring,Fish,Pelagic,Planktivore,Small,Clupeid,2009,16085.0908,4194.036,1
3526,GoA,Pacific ocean perch,Fish,Pelagic,Planktivore,Medium,Sebastes,2009,337317,12663,1
3527,GoA,Pacific salmon,Fish,Pelagic,Planktivore,Large,Forage fish,2009,304632.722,220237.2727,1
3528,GoA,Rex sole,Fish,Demersal,Benthivore,Medium,Pleuronectid,2009,117920,4539,1
3529,GoA,Rougheye rockfish,Fish,Demersal,Zoopivore,Medium,Sebastes,2009,45428.8,278,1
3530,GoA,Sablefish,Fish,Pelagic,Zoopivore,Large,Sablefish,2009,120271.4265,7612,1
3531,GoA,Walleye pollock,Fish,Pelagic,Planktivore,Medium,Gadoid,2009,825330,43865,1
3532,GoM,American plaice,Fish,Demersal,Benthivore,Medium,Pleuronectid,1963,51117.07823,2007.372876,1
3533,GoM,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1963,122854.5082,15757.1125,1
3534,GoM,Atlantic halibut,Fish,Demersal,Piscivore,Large,Pleuronectid,1963,633.9069474,161.2464295,1
3535,GoM,Atlantic mackerel,Fish,Pelagic,Planktivore,Small,Scombrid,1963,1681.92375,5923.53917,1
3536,GoM,Atlantic redfishes (NS),Fish,Pelagic,Zoopivore,Small,Sebastes,1963,165782.8366,10031.96922,1
3537,GoM,Atlantic wolffish,Fish,Demersal,Benthivore,Large,Percoid,1963,46.2214375,33.88700932,1
3538,GoM,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1963,39156.91531,260.8996556,1
3539,GoM,Ocean pout,Fish,Demersal,Benthivore,Medium,Percoid,1963,251.6292581,0.504483715,1
3540,GoM,Pollock,Fish,Pelagic,Zoopivore,Large,Gadoid,1963,86314.42281,5789.127637,1
3541,GoM,Red hake,Fish,Demersal,Benthivore,Medium,Gadoid,1963,19961.2335,8439.872414,1
3542,GoM,Scup,Fish,Demersal,Benthivore,Small,Other,1963,22.9756,12.6151107,1
3543,GoM,Shortfin squid,Invertebrate,Pelagic,Zoopivore,,Cephalopod,1963,820.3376,731.0520206,1
3544,GoM,Silver hake,Fish,Pelagic,Zoopivore,Medium,Gadoid,1963,273054.0495,131067.7459,1
3545,GoM,Spiny dogfish,Fish,Pelagic,Zoopivore,Large,Elasmobranch,1963,104842.8415,354.0732097,1
3546,GoM,Winter flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1963,1108.395857,0,1
3547,GoM,Witch flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1963,71387.92556,1251.507056,1
3548,GoM,Yellowtail flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1963,1101.358045,1058.809705,1
3549,GoM,American plaice,Fish,Demersal,Benthivore,Medium,Pleuronectid,1964,26826.05135,3174.773193,1
3550,GoM,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1964,156042.3361,21512.69124,1
3551,GoM,Atlantic halibut,Fish,Demersal,Piscivore,Large,Pleuronectid,1964,147.1899737,64.24735491,1
3552,GoM,Atlantic mackerel,Fish,Pelagic,Planktivore,Small,Scombrid,1964,1072.57375,1310.697663,1
3553,GoM,Atlantic redfishes (NS),Fish,Pelagic,Zoopivore,Small,Sebastes,1964,350188.3417,8312.54784,1
3554,GoM,Atlantic wolffish,Fish,Demersal,Benthivore,Large,Percoid,1964,2904.765,354.5012345,1
3555,GoM,Goosefish,Fish,Demersal,Piscivore,Large,Scorpaenid,1964,26962.53912,74.51721339,1
3556,GoM,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1964,16363.96567,19729.54423,1
3557,GoM,Longfin squid,Invertebrate,Pelagic,Zoopivore,,Cephalopod,1964,18.40366667,5.616320438,1
3558,GoM,Ocean pout,Fish,Demersal,Benthivore,Medium,Percoid,1964,18.08164516,5.822579086,1
3559,GoM,Pollock,Fish,Pelagic,Zoopivore,Large,Gadoid,1964,47465.06831,7699.279769,1
3560,GoM,Red hake,Fish,Demersal,Benthivore,Medium,Gadoid,1964,3484.93064,6203.491447,1
3561,GoM,Shortfin squid,Invertebrate,Pelagic,Zoopivore,,Cephalopod,1964,246.2687333,22.45952899,1
3562,GoM,Silver hake,Fish,Pelagic,Zoopivore,Medium,Gadoid,1964,44231.71267,121315.8983,1
3563,GoM,Skates (NS),Fish,Demersal,Benthivore,Large,Elasmobranch,1964,187307.8476,3315.816131,1
3564,GoM,Spiny dogfish,Fish,Pelagic,Zoopivore,Large,Elasmobranch,1964,19888.74638,432.7728969,1
3565,GoM,White hake,Fish,Demersal,Piscivore,Large,Gadoid,1964,17557.45469,2711.795722,1
3566,GoM,Winter flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1964,341.1167856,127.7526227,1
3567,GoM,Witch flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1964,48523.42167,1124.990322,1
3568,GoM,Yellowtail flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1964,462.443928,457.7926594,1
3569,GoM,American plaice,Fish,Demersal,Benthivore,Medium,Pleuronectid,1965,43200.79269,3503.139487,1
3570,GoM,Atlantic butterfish,Fish,Pelagic,Planktivore,Small,Forage fish,1965,14.50406667,5.93195832,1
3571,GoM,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1965,82165.36885,31054.62782,1
3572,GoM,Atlantic halibut,Fish,Demersal,Piscivore,Large,Pleuronectid,1965,884.2099421,224.0231994,1
3573,GoM,Atlantic mackerel,Fish,Pelagic,Planktivore,Small,Scombrid,1965,1072.57375,3717.808851,1
3574,GoM,Atlantic redfishes (NS),Fish,Pelagic,Zoopivore,Small,Sebastes,1965,78032.12359,8053.393152,1
3575,GoM,Atlantic wolffish,Fish,Demersal,Benthivore,Large,Percoid,1965,5184.110438,264.6797787,1
3576,GoM,Goosefish,Fish,Demersal,Piscivore,Large,Scorpaenid,1965,27367.54876,78.66327222,1
3577,GoM,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1965,15516.41812,13921.00442,1
3578,GoM,Longfin squid,Invertebrate,Pelagic,Zoopivore,,Cephalopod,1965,160.3013,10.86158986,1
3579,GoM,Ocean pout,Fish,Demersal,Benthivore,Medium,Percoid,1965,126.2552258,15.19880102,1
3580,GoM,Pollock,Fish,Pelagic,Zoopivore,Large,Gadoid,1965,41278.53142,7383.520384,1
3581,GoM,Red hake,Fish,Demersal,Benthivore,Medium,Gadoid,1965,4565.88252,13812.75042,1
3582,GoM,Shortfin squid,Invertebrate,Pelagic,Zoopivore,,Cephalopod,1965,433.5301333,211.2259625,1
3583,GoM,Silver hake,Fish,Pelagic,Zoopivore,Medium,Gadoid,1965,67012.22559,179989.6921,1
3584,GoM,Skates (NS),Fish,Demersal,Benthivore,Large,Elasmobranch,1965,210542.7237,1058.636449,1
3585,GoM,Spiny dogfish,Fish,Pelagic,Zoopivore,Large,Elasmobranch,1965,20678.73376,403.0430637,1
3586,GoM,White hake,Fish,Demersal,Piscivore,Large,Gadoid,1965,26650.73886,2328.90166,1
3587,GoM,Winter flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1965,5171.5569,1678.793868,1
3588,GoM,Witch flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1965,50012.95211,2319.463843,1
3589,GoM,Yellowtail flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1965,178.9483007,244.0217138,1
3590,GoM,American plaice,Fish,Demersal,Benthivore,Medium,Pleuronectid,1966,48396.38054,3307.923656,1
3591,GoM,Atlantic butterfish,Fish,Pelagic,Planktivore,Small,Forage fish,1966,14.50406667,1.874312185,1
3592,GoM,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1966,88400.4918,42249.54594,1
3593,GoM,Atlantic halibut,Fish,Demersal,Piscivore,Large,Pleuronectid,1966,884.2099421,273.6026092,1
3594,GoM,Atlantic mackerel,Fish,Pelagic,Planktivore,Small,Scombrid,1966,463.22375,1766.876982,1
3595,GoM,Atlantic redfishes (NS),Fish,Pelagic,Zoopivore,Small,Sebastes,1966,172590.5908,8529.596545,1
3596,GoM,Atlantic wolffish,Fish,Demersal,Benthivore,Large,Percoid,1966,2682.233188,208.1660716,1
3597,GoM,Goosefish,Fish,Demersal,Piscivore,Large,Scorpaenid,1966,43104.4814,108.1752862,1
3598,GoM,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1966,12809.27257,18841.07709,1
3599,GoM,Longfin squid,Invertebrate,Pelagic,Zoopivore,,Cephalopod,1966,160.3013,8.551857299,1
3600,GoM,Ocean pout,Fish,Demersal,Benthivore,Medium,Percoid,1966,231.5343226,305.5857248,1
3601,GoM,Pollock,Fish,Pelagic,Zoopivore,Large,Gadoid,1966,31369.58675,5224.071871,1
3602,GoM,Red hake,Fish,Demersal,Benthivore,Medium,Gadoid,1966,4014.39922,24762.34762,1
3603,GoM,Shortfin squid,Invertebrate,Pelagic,Zoopivore,,Cephalopod,1966,561.9083667,142.3218028,1
3604,GoM,Silver hake,Fish,Pelagic,Zoopivore,Medium,Gadoid,1966,39692.80572,138466.0064,1
3605,GoM,Skates (NS),Fish,Demersal,Benthivore,Large,Elasmobranch,1966,337642.0533,665.1148257,1
3606,GoM,Spiny dogfish,Fish,Pelagic,Zoopivore,Large,Elasmobranch,1966,7154.726116,5802.194167,1
3607,GoM,White hake,Fish,Demersal,Piscivore,Large,Gadoid,1966,31283.06524,1230.665766,1
3608,GoM,Winter flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1966,674.9047624,448.650947,1
3609,GoM,Witch flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1966,103677.3026,2828.978983,1
3610,GoM,Yellowtail flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1966,506.2420503,780.1099337,1
3611,GoM,American plaice,Fish,Demersal,Benthivore,Medium,Pleuronectid,1967,31594.80062,4045.072098,1
3612,GoM,Atlantic butterfish,Fish,Pelagic,Planktivore,Small,Forage fish,1967,9.64505,2.493471777,1
3613,GoM,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1967,63138.31967,18695.616,1
3614,GoM,Atlantic halibut,Fish,Demersal,Piscivore,Large,Pleuronectid,1967,884.2099421,478.8213166,1
3615,GoM,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1967,120355.7687,26495.17781,1
3616,GoM,Atlantic mackerel,Fish,Pelagic,Planktivore,Small,Scombrid,1967,423.603625,384.2811481,1
3617,GoM,Atlantic redfishes (NS),Fish,Pelagic,Zoopivore,Small,Sebastes,1967,146235.1032,10803.72947,1
3618,GoM,Atlantic wolffish,Fish,Demersal,Benthivore,Large,Percoid,1967,3879.722063,200.8400256,1
3619,GoM,Goosefish,Fish,Demersal,Piscivore,Large,Scorpaenid,1967,13442.05105,578.8374282,1
3620,GoM,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1967,14950.67119,15472.46584,1
3621,GoM,Longfin squid,Invertebrate,Pelagic,Zoopivore,,Cephalopod,1967,302.1989333,11.00095761,1
3622,GoM,Ocean pout,Fish,Demersal,Benthivore,Medium,Percoid,1967,331.0390323,557.7819047,1
3623,GoM,Pollock,Fish,Pelagic,Zoopivore,Large,Gadoid,1967,22893.68169,6558.431175,1
3624,GoM,Red hake,Fish,Demersal,Benthivore,Medium,Gadoid,1967,2027.04322,9346.849649,1
3625,GoM,Shortfin squid,Invertebrate,Pelagic,Zoopivore,,Cephalopod,1967,914.4708,193.8591202,1
3626,GoM,Silver hake,Fish,Pelagic,Zoopivore,Medium,Gadoid,1967,19818.68039,44636.8286,1
3627,GoM,Skates (NS),Fish,Demersal,Benthivore,Large,Elasmobranch,1967,131684.2093,157.1310822,1
3628,GoM,Spiny dogfish,Fish,Pelagic,Zoopivore,Large,Elasmobranch,1967,14626.0344,0,1
3629,GoM,White hake,Fish,Demersal,Piscivore,Large,Gadoid,1967,14760.79029,776.1313202,1
3630,GoM,Winter flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1967,157.4783117,59.32768332,1
3631,GoM,Witch flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1967,44756.05167,3439.409371,1
3632,GoM,Yellowtail flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1967,218.1856619,255.2685261,1
3633,GoM,American plaice,Fish,Demersal,Benthivore,Medium,Pleuronectid,1968,34932.31415,3346.547037,1
3634,GoM,Atlantic butterfish,Fish,Pelagic,Planktivore,Small,Forage fish,1968,8.1806,10.416024,1
3635,GoM,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1968,133031.9262,33299.46605,1
3636,GoM,Atlantic halibut,Fish,Demersal,Piscivore,Large,Pleuronectid,1968,1555.007105,251.3260336,1
3637,GoM,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1968,22441.38661,9759.860524,1
3638,GoM,Atlantic mackerel,Fish,Pelagic,Planktivore,Small,Scombrid,1968,423.603625,156.2360122,1
3639,GoM,Atlantic redfishes (NS),Fish,Pelagic,Zoopivore,Small,Sebastes,1968,247497.3649,6771.095965,1
3640,GoM,Atlantic wolffish,Fish,Demersal,Benthivore,Large,Percoid,1968,4801.796563,167.0792731,1
3641,GoM,Goosefish,Fish,Demersal,Piscivore,Large,Scorpaenid,1968,16592.03199,81.53831824,1
3642,GoM,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1968,15228.18043,13280.90205,1
3643,GoM,Longfin squid,Invertebrate,Pelagic,Zoopivore,,Cephalopod,1968,26.31743333,1.604365103,1
3644,GoM,Ocean pout,Fish,Demersal,Benthivore,Medium,Percoid,1968,156.5897097,78.6020231,1
3645,GoM,Pollock,Fish,Pelagic,Zoopivore,Large,Gadoid,1968,46381.55055,4679.068475,1
3646,GoM,Red hake,Fish,Demersal,Benthivore,Medium,Gadoid,1968,490.12828,616.7433223,1
3647,GoM,Shortfin squid,Invertebrate,Pelagic,Zoopivore,,Cephalopod,1968,462.7149,469.094504,1
3648,GoM,Silver hake,Fish,Pelagic,Zoopivore,Medium,Gadoid,1968,12586.16688,13498.95945,1
3649,GoM,Skates (NS),Fish,Demersal,Benthivore,Large,Elasmobranch,1968,160170.6568,54.63814678,1
3650,GoM,Spiny dogfish,Fish,Pelagic,Zoopivore,Large,Elasmobranch,1968,23492.45608,2645.346295,1
3651,GoM,White hake,Fish,Demersal,Piscivore,Large,Gadoid,1968,13224.65506,988.7390679,1
3652,GoM,Winter flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1968,1701.269089,819.0762384,1
3653,GoM,Witch flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1968,73656.79744,2647.330399,1
3654,GoM,Yellowtail flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1968,57.91925592,75.5241883,1
3655,GoM,American plaice,Fish,Demersal,Benthivore,Medium,Pleuronectid,1969,24600.33273,3155.233311,1
3656,GoM,Atlantic butterfish,Fish,Pelagic,Planktivore,Small,Forage fish,1969,6.71615,5.148277394,1
3657,GoM,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1969,105182.623,25610.83549,1
3658,GoM,Atlantic halibut,Fish,Demersal,Piscivore,Large,Pleuronectid,1969,2000.510447,107.4100021,1
3659,GoM,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1969,9601.649083,4461.596003,1
3660,GoM,Atlantic mackerel,Fish,Pelagic,Planktivore,Small,Scombrid,1969,253.09825,586.9387666,1
3661,GoM,Atlantic redfishes (NS),Fish,Pelagic,Zoopivore,Small,Sebastes,1969,143123.3512,12427.38644,1
3662,GoM,Atlantic wolffish,Fish,Demersal,Benthivore,Large,Percoid,1969,3348.610625,144.6480702,1
3663,GoM,Goosefish,Fish,Demersal,Piscivore,Large,Scorpaenid,1969,39206.88217,29.12382735,1
3664,GoM,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1969,12090.46642,7707.471373,1
3665,GoM,Longfin squid,Invertebrate,Pelagic,Zoopivore,,Cephalopod,1969,50.3308,7.422286131,1
3666,GoM,Ocean pout,Fish,Demersal,Benthivore,Medium,Percoid,1969,386.8291936,307.734161,1
3667,GoM,Pollock,Fish,Pelagic,Zoopivore,Large,Gadoid,1969,59838.14208,8964.556394,1
3668,GoM,Red hake,Fish,Demersal,Benthivore,Medium,Gadoid,1969,1533.81064,4640.155762,1
3669,GoM,Shortfin squid,Invertebrate,Pelagic,Zoopivore,,Cephalopod,1969,267.2692,352.7884682,1
3670,GoM,Silver hake,Fish,Pelagic,Zoopivore,Medium,Gadoid,1969,19584.03919,24077.39091,1
3671,GoM,Skates (NS),Fish,Demersal,Benthivore,Large,Elasmobranch,1969,244909.5271,70.93815788,1
3672,GoM,Spiny dogfish,Fish,Pelagic,Zoopivore,Large,Elasmobranch,1969,21559.81255,2134.302529,1
3673,GoM,White hake,Fish,Demersal,Piscivore,Large,Gadoid,1969,38857.31355,1296.797665,1
3674,GoM,Winter flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1969,1042.754233,487.2572727,1
3675,GoM,Witch flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1969,74560.15133,3650.998759,1
3676,GoM,Yellowtail flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1969,161.5826941,278.1134418,1
3677,GoM,American plaice,Fish,Demersal,Benthivore,Medium,Pleuronectid,1970,22617.42596,3685.337033,1
3678,GoM,Atlantic butterfish,Fish,Pelagic,Planktivore,Small,Forage fish,1970,72.89335,1.496528641,1
3679,GoM,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1970,112533.3607,18404.57437,1
3680,GoM,Atlantic halibut,Fish,Demersal,Piscivore,Large,Pleuronectid,1970,84.43523684,31.89211454,1
3681,GoM,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1970,37249.89834,16095.87523,1
3682,GoM,Atlantic mackerel,Fish,Pelagic,Planktivore,Small,Scombrid,1970,606.20675,1048.025394,1
3683,GoM,Atlantic redfishes (NS),Fish,Pelagic,Zoopivore,Small,Sebastes,1970,189782.7323,16722.24861,1
3684,GoM,Atlantic wolffish,Fish,Demersal,Benthivore,Large,Percoid,1970,8427.8665,174.2194198,1
3685,GoM,Goosefish,Fish,Demersal,Piscivore,Large,Scorpaenid,1970,28452.91843,72.7732815,1
3686,GoM,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1970,8156.70142,3514.961209,1
3687,GoM,Longfin squid,Invertebrate,Pelagic,Zoopivore,,Cephalopod,1970,142.3628333,93.97129565,1
3688,GoM,Ocean pout,Fish,Demersal,Benthivore,Medium,Percoid,1970,994.7030323,278.9189977,1
3689,GoM,Pollock,Fish,Pelagic,Zoopivore,Large,Gadoid,1970,29691.88183,10889.27703,1
3690,GoM,Red hake,Fish,Demersal,Benthivore,Medium,Gadoid,1970,897.15258,745.3299305,1
3691,GoM,Shortfin squid,Invertebrate,Pelagic,Zoopivore,,Cephalopod,1970,591.8366333,722.0121026,1
3692,GoM,Silver hake,Fish,Pelagic,Zoopivore,Medium,Gadoid,1970,31758.5143,35958.65577,1
3693,GoM,Skates (NS),Fish,Demersal,Benthivore,Large,Elasmobranch,1970,264519.5475,100.7970034,1
3694,GoM,Spiny dogfish,Fish,Pelagic,Zoopivore,Large,Elasmobranch,1970,21761.59806,557.8693548,1
3695,GoM,White hake,Fish,Demersal,Piscivore,Large,Gadoid,1970,51869.01526,1999.633443,1
3696,GoM,Winter flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1970,1502.981307,557.2211491,1
3697,GoM,Witch flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1970,82344.72067,2987.790533,1
3698,GoM,Yellowtail flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1970,312.703443,374.7173791,1
3699,GoM,American plaice,Fish,Demersal,Benthivore,Medium,Pleuronectid,1971,17416.98954,2407.692791,1
3700,GoM,Atlantic butterfish,Fish,Pelagic,Planktivore,Small,Forage fish,1971,33.94255,1.406715303,1
3701,GoM,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1971,113115.123,18881.18894,1
3702,GoM,Atlantic halibut,Fish,Demersal,Piscivore,Large,Pleuronectid,1971,560.0743684,104.0959525,1
3703,GoM,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1971,256457.8176,131536.7142,1
3704,GoM,Atlantic mackerel,Fish,Pelagic,Planktivore,Small,Scombrid,1971,371.88575,833.243708,1
3705,GoM,Atlantic redfishes (NS),Fish,Pelagic,Zoopivore,Small,Sebastes,1971,136412.0384,19880.17907,1
3706,GoM,Atlantic wolffish,Fish,Demersal,Benthivore,Large,Percoid,1971,4823.233625,146.4612971,1
3707,GoM,Goosefish,Fish,Demersal,Piscivore,Large,Scorpaenid,1971,30565.06168,14.57748352,1
3708,GoM,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1971,8716.72651,2651.96545,1
3709,GoM,Longfin squid,Invertebrate,Pelagic,Zoopivore,,Cephalopod,1971,67.0831,39.69568159,1
3710,GoM,Ocean pout,Fish,Demersal,Benthivore,Medium,Percoid,1971,53.45596774,22.58268721,1
3711,GoM,Pollock,Fish,Pelagic,Zoopivore,Large,Gadoid,1971,38255.16735,12645.29842,1
3712,GoM,Red hake,Fish,Demersal,Benthivore,Medium,Gadoid,1971,4327.56522,6255.260726,1
3713,GoM,Shortfin squid,Invertebrate,Pelagic,Zoopivore,,Cephalopod,1971,1212.015,2601.658137,1
3714,GoM,Silver hake,Fish,Pelagic,Zoopivore,Medium,Gadoid,1971,21284.52409,28847.99919,1
3715,GoM,Skates (NS),Fish,Demersal,Benthivore,Large,Elasmobranch,1971,212679.7259,69.05209955,1
3716,GoM,Spiny dogfish,Fish,Pelagic,Zoopivore,Large,Elasmobranch,1971,17122.28224,64.32756906,1
3717,GoM,White hake,Fish,Demersal,Piscivore,Large,Gadoid,1971,38683.58302,2715.033795,1
3718,GoM,Winter flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1971,1132.026412,702.3717712,1
3719,GoM,Witch flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1971,54860.86733,5331.473206,1
3720,GoM,Yellowtail flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1971,114.0355241,140.1142491,1
3721,GoM,American plaice,Fish,Demersal,Benthivore,Medium,Pleuronectid,1972,15211.61558,1791.96312,1
3722,GoM,Atlantic butterfish,Fish,Pelagic,Planktivore,Small,Forage fish,1972,11.70965,44.5193924,1
3723,GoM,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1972,88893.27869,13075.11994,1
3724,GoM,Atlantic halibut,Fish,Demersal,Piscivore,Large,Pleuronectid,1972,68.06894737,92.8221246,1
3725,GoM,Atlantic herring,Fish,Pelagic,Planktivore,Small,Clupeid,1972,73570.79427,28368.35914,1
3726,GoM,Atlantic mackerel,Fish,Pelagic,Planktivore,Small,Scombrid,1972,695.114,3428.999588,1
3727,GoM,Atlantic redfishes (NS),Fish,Pelagic,Zoopivore,Small,Sebastes,1972,146344.7303,19023.14225,1
3728,GoM,Atlantic wolffish,Fish,Demersal,Benthivore,Large,Percoid,1972,3635.25325,136.9094799,1
3729,GoM,Goosefish,Fish,Demersal,Piscivore,Large,Scorpaenid,1972,31026.48968,47.97697094,1
3730,GoM,Haddock,Fish,Demersal,Benthivore,Large,Gadoid,1972,5068.33828,1848.871734,1
3731,GoM,Longfin squid,Invertebrate,Pelagic,Zoopivore,,Cephalopod,1972,1.991533333,0.945963085,1
3732,GoM,Ocean pout,Fish,Demersal,Benthivore,Medium,Percoid,1972,1516.446419,211.1097336,1
3733,GoM,Pollock,Fish,Pelagic,Zoopivore,Large,Gadoid,1972,57304.10861,10289.66268,1
3734,GoM,Red hake,Fish,Demersal,Benthivore,Medium,Gadoid,1972,8603.9579,18127.12196,1
3735,GoM,Scup,Fish,Demersal,Benthivore,Small,Other,1972,29.717,1.523154001,1
3736,GoM,Shortfin squid,Invertebrate,Pelagic,Zoopivore,,Cephalopod,1972,635.1915667,4513.390187,1
3737,GoM,Silver hake,Fish,Pelagic,Zoopivore,Medium,Gadoid,1972,62946.70916,66647.06607,1
3738,GoM,Skates (NS),Fish,Demersal,Benthivore,Large,Elasmobranch,1972,210624.3367,310.3489064,1
3739,GoM,Spiny dogfish,Fish,Pelagic,Zoopivore,Large,Elasmobranch,1972,24390.35317,605.1398965,1
3740,GoM,White hake,Fish,Demersal,Piscivore,Large,Gadoid,1972,61724.49612,3015.84085,1
3741,GoM,Winter flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1972,1327.523076,486.8991208,1
3742,GoM,Witch flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1972,71996.29433,4873.564091,1
3743,GoM,Yellowtail flounder,Fish,Demersal,Benthivore,Medium,Pleuronectid,1972,749.4591328,508.270965,1
3744,GoM,American plaice,Fish,Demersal,Benthivore,Medium,Pleuronectid,1973,20980.88565,1837.953836,1
3745,GoM,Atlantic butterfish,Fish,Pelagic,Planktivore,Small,Forage fish,1973,239.20505,26.68988736,1
3746,GoM,Atlantic cod,Fish,Demersal,Piscivore,Large,Gadoid,1973,59942.04918,9244.446336,1
